status	priority	score	fanin	class	module	path	signals
TODO	7.2	7.2	0	AddressLabelPair	program	src/program/model/symbol/address_label_pair.rs	clone/100L=7.2
TODO	7.1	7.1	0	CommentSearchAddressIterator	app	src/app/plugin/core/searchtext/iterators/comment_search_address_iterator.rs	dyn=2,clone/100L=3.1
TODO	7.1	7.1	0	QueryDatabaseException	feature	src/feature/bsim/query/facade/query_database_exception.rs	dyn=3,clone/100L=1.1
TODO	7.1	7.1	0	DbKeyAdapter	program	src/program/util/db_key_adapter.rs	dyn=2,clone/100L=3.1
TODO	7.0	7.0	0	ViewChangeListener	app	src/app/plugin/core/programtree/view_change_listener.rs	dyn=2,rc_refcell=1
TODO	7.0	7.0	0	DataGatheringParams	feature	src/feature/bitpatterns/info/data_gathering_params.rs	getset_pairs=7
TODO	7.0	7.0	0	FrequentSequence	feature	src/feature/closedpatternmining/frequent_sequence.rs	clone/100L=7.0
TODO	7.0	7.0	0	NamespaceManager	program	src/program/database/symbol/namespace_manager.rs	arc_mutex=2,getset_pairs=1
TODO	7.0	7.0	0	OverlappingNamespaceException	program	src/program/database/symbol/overlapping_namespace_exception.rs	dyn=1,clone/100L=5.0
TODO	7.0	7.0	0	ProxyUtilitiesTest	util	src/util/util/deeper/proxy_utilities_test.rs	dyn=3,clone/100L=1.0
TODO	6.9	6.9	0	VectorStl	generic	src/generic/stl/vector_stl.rs	dyn=3
TODO	6.7	6.7	0	IsfFunctionPointer	program	src/program/model/data/isf/isf_function_pointer.rs	dyn=3
TODO	6.5	6.5	0	MergeProgramGenerator	program	src/program/database/merge_program_generator.rs	dyn=2,clone/100L=2.5
TODO	6.5	6.5	0	ExtFragmentRange	sarif	src/sarif/export/trees/ext_fragment_range.rs	clone/100L=6.5
TODO	6.5	6.5	0	AddressMatch	util	src/util/bytesearch/address_match.rs	clone/100L=6.5
TODO	6.4	6.4	0	ShutdownHookRegistry		src/framework/shutdown_hook_registry.rs	unwrap/100L=2.9,lazy_static_mut=1
TODO	6.4	6.4	0	Mod	program	src/program/model/lang/sleigh/mod.rs	dyn=2,clone/100L=2.4
TODO	6.3	6.3	0	MemoryBlockStub	program	src/program/model/mem/memory_block_stub.rs	clone/100L=5.3,getset_pairs=1
TODO	6.2	6.2	0	DbParms	framework	src/framework/db/db_parms.rs	unwrap/100L=6.2
TODO	6.2	6.2	0	Lcs	generic	src/generic/algorithms/lcs.rs	dyn=2,clone/100L=2.2
TODO	6.2	6.2	0	LazyLoadingCachingMap	program	src/program/database/data/lazy_loading_caching_map.rs	unwrap/100L=6.2
