class	rust_is	should_be	rule	java_kind	location	why
IndexField	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/db/index_field.rs:21	concrete Java `class` (1 in-repo subclass(es))
IndexedLocalFileSystem	trait	struct	R14-concrete-class	class	ghidra-rs/src/framework/store/local/indexed_local_file_system.rs:47	concrete Java `class` (1 in-repo subclass(es))
InjectPayloadCallfixup	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/inject_payload_callfixup.rs:23	concrete Java `class` (1 in-repo subclass(es))
InjectPayloadSleigh	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/lang/inject_payload_sleigh.rs:28	concrete Java `class` (4 in-repo subclass(es))
InstructionBlock	trait	iterator	R6b-bare-iterable	class	ghidra-rs/src/program/model/lang/instruction_block.rs:16	extends Iterable and declares no other API (0 abstract method(s))
InstructionIterator	trait	iterator	R6a-cursor	interface	ghidra-rs/src/program/model/listing/instruction_iterator.rs:9	extends Iterator
InstructionPcodeOverride	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/instruction_pcode_override.rs:27	concrete Java `class` (0 in-repo subclass(es))
InstructionStub	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/listing/instruction_stub.rs:52	concrete Java `class` (0 in-repo subclass(es))
Int16TDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/int16_t_data_type.rs:38	concrete Java `class` (0 in-repo subclass(es))
Int32TDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/int32_t_data_type.rs:38	concrete Java `class` (0 in-repo subclass(es))
Int64TDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/int64_t_data_type.rs:40	concrete Java `class` (0 in-repo subclass(es))
Int8TDataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/int8_t_data_type.rs:40	concrete Java `class` (0 in-repo subclass(es))
Integer16DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer16_data_type.rs:37	concrete Java `class` (0 in-repo subclass(es))
Integer3DataType	trait	struct	R14-concrete-class	class	ghidra-rs/src/program/model/data/integer3_data_type.rs:37	concrete Java `class` (0 in-repo subclass(es))
